Lead_ID,Source,Program_Interested,Date_Enquired,Call_Attended,Demo_Attended,Follow_Ups,Days_to_First_Contact,Counselor_Name,Lead_Score,Converted
L02855,Instagram,MBA,2025-01-24,No,No,2,0,Counselor_44,90,No
L02856,Facebook,PGDM,2025-03-01,No,No,2,0,Counselor_1,41,No
L02857,Google Ads,BSC,2025-04-22,Yes,No,2,1,Counselor_26,43,No
L02858,LinkedIn,MSC,2025-02-20,Yes,No,4,4,Counselor_43,68,No
L02859,Facebook,BCOM,2025-02-03,Yes,Yes,4,3,Counselor_44,65,Yes
L02860,Instagram,MA,2025-03-15,No,No,1,5,Counselor_48,38,No
L02861,Instagram,PGDM,2025-01-08,No,No,1,2,Counselor_10,69,No
L02862,Instagram,MBA,2025-03-03,No,No,0,1,Counselor_24,25,No
L02863,Google Ads,MCA,2025-02-06,No,No,2,5,Counselor_45,34,No
L02864,Referral,BA,2025-01-18,Yes,No,5,0,Counselor_15,23,No
L02865,Website,MCOM,2025-04-27,Yes,Yes,1,0,Counselor_21,49,No
L02866,Website,MCA,2025-01-13,Yes,Yes,4,5,Counselor_24,90,No
L02867,Google Ads,PGCP,2025-04-02,No,No,0,5,Counselor_40,62,No
L02868,Referral,MCOM,2025-03-12,Yes,Yes,1,0,Counselor_49,55,No
L02869,YouTube,PGCP,2025-02-03,No,No,0,3,Counselor_33,94,No
L02870,WhatsApp,MSC,2025-02-10,Yes,Yes,3,5,Counselor_49,34,No
L02871,LinkedIn,BCA,2025-04-09,Yes,Yes,4,2,Counselor_7,37,No
L02872,Referral,BA,2025-02-17,No,No,1,4,Counselor_7,63,No
L02873,Facebook,MCOM,2025-01-20,Yes,No,1,5,Counselor_39,79,No
L02874,LinkedIn,MA,2025-04-04,Yes,Yes,3,3,Counselor_49,67,No
L02875,WhatsApp,BCOM,2025-03-01,Yes,Yes,4,0,Counselor_2,78,Yes
L02876,YouTube,MSC,2025-02-16,Yes,Yes,6,3,Counselor_35,49,No
L02877,YouTube,BSC,2025-04-03,Yes,Yes,3,2,Counselor_15,87,Yes
L02878,LinkedIn,BCOM,2025-02-07,No,No,1,4,Counselor_21,78,No
L02879,LinkedIn,PGCP,2025-01-07,Yes,Yes,3,3,Counselor_44,87,Yes
L02880,LinkedIn,BCOM,2025-01-24,Yes,No,1,3,Counselor_27,74,No
L02881,Google Ads,MCA,2025-01-02,Yes,No,6,1,Counselor_10,81,No
L02882,Instagram,MA,2025-05-01,Yes,No,4,3,Counselor_27,37,No
L02883,Facebook,BA,2025-01-17,Yes,Yes,6,4,Counselor_31,26,No
L02884,WhatsApp,BSC,2025-03-30,Yes,Yes,5,3,Counselor_38,49,No
L02885,LinkedIn,MBA,2025-03-30,Yes,Yes,2,2,Counselor_1,64,No
L02886,LinkedIn,BCOM,2025-01-26,Yes,No,3,4,Counselor_29,74,No
L02887,Google Ads,MBA,2025-02-10,Yes,No,3,3,Counselor_29,27,No
L02888,YouTube,BCA,2025-03-18,No,No,1,5,Counselor_22,64,No
L02889,Google Ads,MCA,2025-02-25,No,No,2,5,Counselor_2,50,No
L02890,Google Ads,MCA,2025-04-19,Yes,Yes,4,5,Counselor_9,78,No
L02891,LinkedIn,MBA,2025-04-01,Yes,No,2,3,Counselor_7,33,No
L02892,Instagram,BCOM,2025-04-17,Yes,No,4,4,Counselor_8,82,No
L02893,Instagram,PGCP,2025-01-22,Yes,Yes,5,4,Counselor_24,34,No
L02894,Google Ads,MCOM,2025-04-18,Yes,Yes,2,0,Counselor_24,42,No
L02895,Instagram,PGCP,2025-03-16,Yes,Yes,2,1,Counselor_2,43,No
L02896,WhatsApp,BA,2025-04-12,Yes,Yes,3,1,Counselor_44,70,Yes
L02897,Instagram,MBA,2025-02-24,Yes,No,4,3,Counselor_49,22,No
L02898,Referral,MSC,2025-02-21,No,No,1,0,Counselor_22,21,No
L02899,Website,MCOM,2025-03-16,Yes,Yes,4,1,Counselor_17,55,No
L02900,WhatsApp,BA,2025-01-29,No,No,1,1,Counselor_37,55,No
L02901,YouTube,PGCP,2025-01-31,No,No,0,4,Counselor_15,92,No
L02902,Website,PGCP,2025-04-07,No,No,1,0,Counselor_11,64,No
L02903,Facebook,MSC,2025-03-31,Yes,No,2,1,Counselor_30,40,No
L02904,YouTube,MCA,2025-03-11,No,No,0,4,Counselor_8,69,No
L02905,Referral,PGDM,2025-03-25,Yes,No,5,3,Counselor_4,36,No
L02906,WhatsApp,PGCP,2025-02-27,Yes,Yes,2,3,Counselor_11,90,No
L02907,Facebook,MA,2025-03-17,Yes,No,6,4,Counselor_24,22,No
L02908,YouTube,MBA,2025-03-06,No,No,1,2,Counselor_1,73,No
L02909,YouTube,PGDM,2025-04-07,Yes,No,2,0,Counselor_35,21,No
L02910,Instagram,BA,2025-04-18,No,No,2,0,Counselor_11,43,No
L02911,Instagram,PGDM,2025-04-10,No,No,1,1,Counselor_40,24,No
L02912,Google Ads,MCOM,2025-03-11,Yes,Yes,2,1,Counselor_11,64,No
L02913,Referral,MA,2025-01-23,Yes,Yes,3,0,Counselor_3,39,No
L02914,Facebook,BSC,2025-04-14,Yes,No,1,0,Counselor_40,48,No
L02915,Facebook,MCOM,2025-02-12,No,No,2,0,Counselor_15,71,No
L02916,Google Ads,MA,2025-03-21,Yes,No,2,1,Counselor_19,51,No
L02917,WhatsApp,MCA,2025-03-17,Yes,Yes,5,0,Counselor_23,92,No
L02918,Referral,MSC,2025-01-17,No,No,1,2,Counselor_6,40,No
L02919,Website,BCOM,2025-04-10,Yes,Yes,3,4,Counselor_39,37,No
L02920,Website,MSC,2025-01-19,Yes,Yes,2,0,Counselor_31,78,Yes
L02921,Facebook,MCOM,2025-01-21,Yes,Yes,2,4,Counselor_50,54,No
L02922,Instagram,BA,2025-01-27,No,No,1,4,Counselor_7,95,No
L02923,LinkedIn,MCA,2025-02-20,Yes,No,1,3,Counselor_24,49,No
L02924,WhatsApp,MCA,2025-05-01,Yes,No,4,2,Counselor_10,85,No
L02925,WhatsApp,MCOM,2025-02-19,Yes,No,6,0,Counselor_40,74,No
L02926,Instagram,BCOM,2025-04-14,No,No,0,0,Counselor_37,95,No
L02927,LinkedIn,BSC,2025-04-05,No,No,1,2,Counselor_9,54,No
L02928,Website,MA,2025-01-22,No,No,0,2,Counselor_45,49,No
L02929,Facebook,PGDM,2025-01-02,Yes,Yes,6,1,Counselor_7,94,No
L02930,Google Ads,MA,2025-03-27,No,No,2,3,Counselor_32,95,No
L02931,YouTube,BSC,2025-01-18,Yes,No,2,2,Counselor_45,52,No
L02932,LinkedIn,MCA,2025-01-12,Yes,Yes,3,5,Counselor_44,61,No
L02933,Instagram,BA,2025-01-24,No,No,0,2,Counselor_50,89,No
L02934,YouTube,BCOM,2025-01-06,Yes,No,5,1,Counselor_14,50,No
L02935,LinkedIn,BA,2025-03-17,No,No,1,2,Counselor_7,65,No
L02936,Website,MCA,2025-02-13,Yes,Yes,3,3,Counselor_18,27,No
L02937,Facebook,BSC,2025-03-06,No,No,1,5,Counselor_34,87,No
L02938,Referral,BCA,2025-01-22,No,No,1,5,Counselor_28,81,No
L02939,LinkedIn,PGCP,2025-04-11,Yes,No,3,3,Counselor_31,36,No
L02940,LinkedIn,PGDM,2025-02-09,No,No,2,2,Counselor_48,67,No
L02941,Instagram,BA,2025-02-20,Yes,Yes,2,2,Counselor_1,33,No
L02942,LinkedIn,PGDM,2025-04-04,No,No,2,3,Counselor_11,58,No
L02943,YouTube,MCA,2025-03-12,Yes,Yes,3,1,Counselor_42,21,No
L02944,Instagram,MCA,2025-04-12,Yes,No,1,2,Counselor_37,93,No
L02945,LinkedIn,BA,2025-01-02,No,No,2,5,Counselor_42,73,No
L02946,WhatsApp,MCA,2025-04-17,Yes,Yes,4,3,Counselor_1,53,No
L02947,Facebook,MBA,2025-03-16,Yes,Yes,1,3,Counselor_19,25,No
L02948,Website,MA,2025-03-20,Yes,No,1,4,Counselor_15,51,No
L02949,Facebook,MA,2025-03-10,Yes,Yes,3,3,Counselor_6,31,No
L02950,Referral,PGCP,2025-04-20,Yes,Yes,1,4,Counselor_10,79,Yes
L02951,Website,PGDM,2025-02-21,Yes,Yes,6,5,Counselor_27,27,No
L02952,YouTube,PGCP,2025-04-22,Yes,Yes,6,4,Counselor_46,65,Yes
L02953,Facebook,MA,2025-03-01,Yes,Yes,1,3,Counselor_28,38,No
L02954,Referral,BSC,2025-01-15,Yes,No,2,3,Counselor_8,21,No
L02955,Google Ads,MCOM,2025-04-02,Yes,Yes,2,1,Counselor_46,32,No
L02956,WhatsApp,PGDM,2025-02-05,No,No,1,0,Counselor_48,45,No
L02957,YouTube,MCA,2025-03-01,Yes,No,5,2,Counselor_31,73,No
L02958,Website,PGCP,2025-04-20,Yes,No,5,2,Counselor_12,25,No
L02959,Google Ads,PGCP,2025-04-14,Yes,Yes,3,0,Counselor_33,90,Yes
L02960,Instagram,BCOM,2025-03-21,Yes,Yes,3,5,Counselor_12,25,No
L02961,LinkedIn,MCOM,2025-03-13,Yes,Yes,3,0,Counselor_50,83,Yes
L02962,Google Ads,PGDM,2025-02-24,No,No,0,4,Counselor_25,93,No
L02963,Google Ads,BCOM,2025-03-14,No,No,0,1,Counselor_23,57,No
L02964,Facebook,MA,2025-02-18,No,No,0,3,Counselor_36,92,No
L02965,Website,MCOM,2025-03-30,Yes,Yes,4,5,Counselor_46,54,No
L02966,Instagram,BSC,2025-01-02,No,No,0,4,Counselor_22,49,No
L02967,Facebook,BSC,2025-04-24,Yes,No,3,1,Counselor_6,70,No
L02968,Google Ads,MA,2025-02-11,No,No,2,0,Counselor_3,94,No
L02969,Referral,BCOM,2025-03-10,Yes,No,1,2,Counselor_32,72,No
L02970,Instagram,MCOM,2025-01-29,Yes,No,5,2,Counselor_18,47,No
L02971,YouTube,MBA,2025-02-20,No,No,0,4,Counselor_49,77,No
L02972,Facebook,PGCP,2025-02-02,No,No,1,1,Counselor_44,69,No
L02973,Referral,PGCP,2025-03-12,No,No,0,2,Counselor_43,58,No
L02974,Instagram,BCA,2025-02-17,No,No,2,4,Counselor_37,24,No
L02975,Website,MCA,2025-02-27,Yes,No,5,0,Counselor_1,86,No
L02976,Google Ads,PGDM,2025-01-06,Yes,No,5,3,Counselor_2,57,No
L02977,Referral,PGDM,2025-02-22,No,No,1,0,Counselor_22,24,No
L02978,Referral,MA,2025-02-26,Yes,Yes,5,1,Counselor_14,23,No
L02979,WhatsApp,BCOM,2025-03-24,Yes,Yes,4,3,Counselor_45,35,No
L02980,LinkedIn,MCA,2025-04-05,Yes,Yes,4,4,Counselor_42,55,No
L02981,Instagram,BA,2025-01-03,No,No,1,4,Counselor_42,84,No
L02982,WhatsApp,PGDM,2025-01-28,Yes,Yes,5,0,Counselor_25,80,No
L02983,WhatsApp,MA,2025-02-08,Yes,Yes,5,5,Counselor_40,84,No
L02984,WhatsApp,MBA,2025-04-05,No,No,2,2,Counselor_2,58,No
L02985,LinkedIn,MCA,2025-04-17,Yes,Yes,3,5,Counselor_36,74,No
L02986,Instagram,BCA,2025-04-21,Yes,No,1,3,Counselor_26,46,No
L02987,LinkedIn,MBA,2025-04-08,Yes,No,5,5,Counselor_1,80,No
L02988,Referral,BA,2025-03-16,Yes,No,5,0,Counselor_44,92,No
L02989,LinkedIn,BCOM,2025-01-16,Yes,Yes,3,1,Counselor_50,49,No
L02990,YouTube,MSC,2025-02-28,No,No,0,4,Counselor_28,59,No
L02991,Google Ads,MCA,2025-02-21,Yes,Yes,2,5,Counselor_45,95,No
L02992,Referral,MSC,2025-03-28,No,No,1,2,Counselor_44,22,No
L02993,Instagram,MCOM,2025-02-15,No,No,2,3,Counselor_29,23,No
L02994,WhatsApp,BA,2025-01-23,Yes,Yes,5,3,Counselor_13,20,No
L02995,Facebook,MCOM,2025-03-19,Yes,No,3,1,Counselor_36,85,No
L02996,Google Ads,BSC,2025-04-11,Yes,Yes,2,5,Counselor_44,29,No
L02997,YouTube,BCA,2025-01-15,Yes,Yes,1,3,Counselor_41,68,No
L02998,Google Ads,BSC,2025-01-29,Yes,Yes,6,4,Counselor_38,26,No
L02999,Instagram,PGCP,2025-03-25,No,No,2,5,Counselor_43,38,No
L03000,Instagram,PGDM,2025-01-01,Yes,Yes,1,0,Counselor_31,26,No
L03001,LinkedIn,PGCP,2025-03-22,Yes,Yes,1,1,Counselor_2,85,No
L03002,Website,BCA,2025-03-23,No,No,0,3,Counselor_11,71,No
L03003,LinkedIn,BCA,2025-01-22,Yes,Yes,2,5,Counselor_50,57,No
L03004,Google Ads,BCA,2025-02-11,No,No,0,5,Counselor_2,78,No
L03005,LinkedIn,BCA,2025-03-06,Yes,No,5,1,Counselor_42,79,No
L03006,Google Ads,MSC,2025-01-10,Yes,Yes,5,5,Counselor_8,69,No
L03007,LinkedIn,BCOM,2025-02-21,Yes,Yes,1,4,Counselor_9,22,No
L03008,Referral,BA,2025-01-16,Yes,No,2,3,Counselor_13,53,No
L03009,Google Ads,MCOM,2025-01-28,Yes,Yes,6,5,Counselor_12,52,No
L03010,Facebook,BCA,2025-03-29,No,No,1,0,Counselor_6,42,No
L03011,Website,MCOM,2025-04-14,Yes,No,3,1,Counselor_43,67,No
L03012,Referral,PGCP,2025-03-18,Yes,Yes,2,1,Counselor_30,66,Yes
L03013,LinkedIn,BCA,2025-04-27,Yes,Yes,6,0,Counselor_16,68,No
L03014,YouTube,MBA,2025-01-17,No,No,1,1,Counselor_25,60,No
L03015,LinkedIn,MCOM,2025-01-06,Yes,Yes,4,2,Counselor_33,30,No
L03016,YouTube,PGDM,2025-04-10,No,No,2,0,Counselor_16,71,No
L03017,Google Ads,BCA,2025-03-11,Yes,Yes,6,4,Counselor_29,83,Yes
L03018,Facebook,MCOM,2025-05-01,No,No,1,1,Counselor_13,36,No
L03019,Referral,PGCP,2025-01-05,Yes,No,5,4,Counselor_34,72,No
L03020,Google Ads,BA,2025-01-10,Yes,Yes,5,3,Counselor_43,42,No
L03021,LinkedIn,MBA,2025-02-02,Yes,Yes,2,1,Counselor_27,92,No
L03022,Website,PGCP,2025-02-23,Yes,No,5,4,Counselor_27,42,No
L03023,Referral,PGDM,2025-02-18,Yes,Yes,5,5,Counselor_10,95,No
L03024,Referral,MA,2025-02-11,No,No,2,3,Counselor_26,91,No
L03025,YouTube,BCOM,2025-02-27,Yes,Yes,4,0,Counselor_20,35,No
L03026,Referral,MCOM,2025-03-09,Yes,Yes,3,4,Counselor_16,32,No
L03027,Facebook,MA,2025-03-19,Yes,Yes,5,0,Counselor_10,36,No
L03028,WhatsApp,MBA,2025-01-04,Yes,Yes,3,0,Counselor_42,79,No
L03029,LinkedIn,BA,2025-04-03,No,No,0,2,Counselor_48,49,No
L03030,Website,MCOM,2025-04-04,No,No,0,1,Counselor_20,35,No
L03031,Website,MA,2025-03-08,No,No,1,2,Counselor_10,89,No
L03032,YouTube,MCA,2025-01-05,Yes,Yes,6,2,Counselor_43,69,Yes
L03033,LinkedIn,MCOM,2025-04-27,Yes,No,6,5,Counselor_10,27,No
L03034,LinkedIn,MA,2025-02-13,No,No,0,4,Counselor_32,74,No
L03035,WhatsApp,BA,2025-05-01,No,No,2,2,Counselor_36,71,No
L03036,LinkedIn,BA,2025-05-01,No,No,2,0,Counselor_42,67,No
L03037,WhatsApp,BCA,2025-01-17,No,No,0,3,Counselor_43,66,No
L03038,Referral,BSC,2025-04-30,Yes,No,4,0,Counselor_34,75,No
L03039,Facebook,BCOM,2025-01-20,No,No,2,5,Counselor_42,57,No
L03040,Website,MCOM,2025-02-01,No,No,1,3,Counselor_17,35,No
L03041,LinkedIn,PGDM,2025-01-29,No,No,2,1,Counselor_31,60,No
L03042,WhatsApp,MSC,2025-01-02,Yes,Yes,2,5,Counselor_11,29,No
L03043,YouTube,PGDM,2025-01-08,Yes,Yes,5,5,Counselor_12,25,No
L03044,LinkedIn,PGDM,2025-04-17,Yes,No,5,5,Counselor_5,95,No
L03045,Referral,BCA,2025-03-03,Yes,Yes,2,2,Counselor_47,43,No
L03046,Google Ads,MCOM,2025-02-05,No,No,1,4,Counselor_39,20,No
L03047,Google Ads,BCOM,2025-02-25,Yes,No,5,3,Counselor_9,48,No
L03048,Facebook,MSC,2025-04-29,No,No,0,5,Counselor_31,72,No
L03049,Facebook,MSC,2025-04-10,No,No,0,3,Counselor_41,24,No
L03050,Facebook,MSC,2025-03-03,Yes,No,2,4,Counselor_38,64,No
L03051,Instagram,MCOM,2025-02-15,Yes,No,1,4,Counselor_5,91,No
L03052,Facebook,BCA,2025-01-01,Yes,Yes,1,5,Counselor_48,32,No
L03053,Facebook,BCOM,2025-02-03,Yes,No,4,5,Counselor_24,51,No
L03054,Instagram,PGCP,2025-01-07,Yes,No,1,0,Counselor_19,21,No
L03055,Referral,MBA,2025-04-02,Yes,No,1,4,Counselor_18,22,No
L03056,Referral,BA,2025-04-29,No,No,2,1,Counselor_12,30,No
L03057,Website,BSC,2025-01-27,Yes,Yes,2,5,Counselor_47,25,No
L03058,Referral,BCA,2025-02-17,No,No,2,4,Counselor_26,55,No
L03059,Website,BSC,2025-02-26,Yes,Yes,4,2,Counselor_11,63,Yes
L03060,WhatsApp,MCOM,2025-03-30,Yes,No,2,5,Counselor_16,63,No
L03061,WhatsApp,MCA,2025-01-26,Yes,Yes,4,2,Counselor_17,22,No
L03062,Website,PGCP,2025-03-04,Yes,No,5,4,Counselor_31,25,No
L03063,LinkedIn,MBA,2025-03-28,No,No,2,5,Counselor_40,31,No
L03064,Google Ads,MA,2025-01-11,Yes,No,2,3,Counselor_25,32,No
L03065,Instagram,PGDM,2025-03-10,Yes,Yes,1,2,Counselor_11,71,Yes
L03066,Instagram,MSC,2025-03-18,Yes,Yes,4,5,Counselor_44,40,No
L03067,LinkedIn,MBA,2025-02-10,Yes,No,6,0,Counselor_31,81,No
L03068,Google Ads,PGDM,2025-04-02,Yes,Yes,6,0,Counselor_35,37,No
L03069,Referral,MSC,2025-02-26,No,No,1,3,Counselor_48,29,No
L03070,Facebook,MA,2025-03-15,Yes,No,4,3,Counselor_27,36,No
L03071,WhatsApp,MCA,2025-02-01,Yes,No,4,0,Counselor_24,49,No
L03072,Website,MCA,2025-04-06,Yes,No,3,0,Counselor_9,67,No
L03073,YouTube,BCA,2025-04-27,Yes,Yes,4,4,Counselor_26,26,No
L03074,Facebook,MBA,2025-02-20,Yes,Yes,2,3,Counselor_1,67,Yes
L03075,Instagram,BSC,2025-03-23,Yes,No,5,4,Counselor_38,35,No
L03076,Website,MA,2025-03-17,Yes,Yes,2,0,Counselor_48,50,No
L03077,Website,MCA,2025-02-16,Yes,No,3,1,Counselor_45,45,No
L03078,YouTube,PGDM,2025-03-14,Yes,Yes,2,0,Counselor_37,43,No
L03079,WhatsApp,MBA,2025-01-07,Yes,Yes,1,1,Counselor_30,64,No
L03080,YouTube,MCOM,2025-03-26,Yes,No,6,4,Counselor_9,25,No
L03081,Facebook,MCOM,2025-04-06,Yes,No,6,2,Counselor_22,48,No
L03082,Instagram,MSC,2025-03-13,Yes,Yes,6,4,Counselor_39,69,Yes
L03083,Facebook,BCA,2025-01-28,Yes,No,3,2,Counselor_26,71,No
L03084,LinkedIn,MCA,2025-03-18,No,No,1,1,Counselor_8,83,No
L03085,YouTube,MBA,2025-02-10,Yes,Yes,2,3,Counselor_7,73,No
L03086,Google Ads,BCA,2025-02-24,Yes,Yes,4,5,Counselor_10,73,No
L03087,WhatsApp,MBA,2025-01-17,Yes,No,1,2,Counselor_33,66,No
L03088,Website,MSC,2025-02-17,No,No,2,0,Counselor_5,76,No
L03089,Referral,BSC,2025-04-03,Yes,Yes,4,0,Counselor_21,74,Yes
L03090,YouTube,BA,2025-01-08,Yes,Yes,3,0,Counselor_14,51,No
L03091,Facebook,MCOM,2025-02-26,Yes,Yes,4,2,Counselor_47,66,Yes
L03092,Facebook,BCOM,2025-03-16,Yes,No,1,4,Counselor_48,30,No
L03093,WhatsApp,PGCP,2025-04-06,No,No,2,3,Counselor_38,47,No
L03094,WhatsApp,PGDM,2025-02-19,No,No,2,1,Counselor_13,61,No
L03095,YouTube,MCOM,2025-03-22,Yes,Yes,5,0,Counselor_24,79,Yes
L03096,LinkedIn,MA,2025-04-06,Yes,No,6,0,Counselor_35,53,No
L03097,Referral,MBA,2025-04-14,Yes,Yes,2,0,Counselor_39,66,Yes
L03098,Referral,MA,2025-01-25,No,No,0,5,Counselor_46,81,No
L03099,Referral,BSC,2025-01-18,Yes,No,4,2,Counselor_17,25,No
L03100,LinkedIn,BCA,2025-04-28,Yes,Yes,2,3,Counselor_30,68,No
L03101,LinkedIn,MCOM,2025-01-22,Yes,No,5,5,Counselor_11,48,No
L03102,Facebook,BSC,2025-01-19,Yes,Yes,2,0,Counselor_37,32,No
L03103,Google Ads,MBA,2025-01-09,Yes,Yes,2,4,Counselor_18,57,No
L03104,LinkedIn,MA,2025-02-08,Yes,Yes,5,4,Counselor_10,21,No
L03105,YouTube,PGDM,2025-04-15,Yes,Yes,3,5,Counselor_22,36,No
L03106,WhatsApp,MBA,2025-04-28,No,No,1,3,Counselor_37,28,No
L03107,Referral,BCA,2025-01-29,Yes,Yes,4,2,Counselor_16,47,No
L03108,LinkedIn,MCA,2025-04-10,No,No,2,5,Counselor_50,39,No
L03109,LinkedIn,BCOM,2025-02-27,Yes,Yes,1,3,Counselor_47,84,No
L03110,Website,PGCP,2025-02-21,No,No,2,3,Counselor_2,76,No
L03111,Website,MA,2025-03-13,Yes,Yes,1,2,Counselor_40,60,No
L03112,LinkedIn,BA,2025-03-06,No,No,0,5,Counselor_19,30,No
L03113,Website,BSC,2025-03-02,No,No,1,5,Counselor_4,36,No
L03114,YouTube,MCOM,2025-01-03,Yes,No,4,2,Counselor_33,41,No
L03115,WhatsApp,BCOM,2025-02-23,Yes,Yes,1,3,Counselor_11,21,No
L03116,Website,MA,2025-04-01,Yes,No,6,2,Counselor_41,71,No
L03117,Google Ads,PGCP,2025-04-04,Yes,Yes,3,2,Counselor_39,82,No
L03118,Referral,MSC,2025-03-08,No,No,2,5,Counselor_50,93,No
L03119,YouTube,BA,2025-04-18,Yes,Yes,5,0,Counselor_17,84,Yes
L03120,Facebook,PGDM,2025-01-02,No,No,2,5,Counselor_43,46,No
L03121,LinkedIn,PGCP,2025-04-10,No,No,1,1,Counselor_9,36,No
L03122,Referral,BA,2025-02-02,No,No,0,1,Counselor_7,40,No
L03123,Instagram,BSC,2025-04-21,No,No,1,4,Counselor_19,91,No
L03124,Facebook,MA,2025-02-02,Yes,No,2,5,Counselor_29,75,No
L03125,LinkedIn,MCA,2025-04-27,Yes,Yes,5,5,Counselor_20,83,Yes
L03126,LinkedIn,PGDM,2025-02-20,No,No,2,4,Counselor_45,82,No
L03127,Instagram,BCA,2025-04-10,Yes,Yes,2,1,Counselor_29,87,No
L03128,YouTube,MBA,2025-02-12,Yes,No,3,0,Counselor_25,86,No
L03129,Website,PGCP,2025-03-31,Yes,No,6,5,Counselor_17,93,No
L03130,Facebook,PGCP,2025-02-09,Yes,No,5,4,Counselor_18,70,No
L03131,Website,BSC,2025-02-11,Yes,No,5,2,Counselor_37,69,No
L03132,Referral,BSC,2025-03-11,Yes,Yes,5,3,Counselor_10,45,No
L03133,WhatsApp,MSC,2025-01-07,No,No,0,4,Counselor_10,73,No
L03134,Instagram,PGCP,2025-02-21,Yes,Yes,3,2,Counselor_21,77,No
L03135,WhatsApp,MCOM,2025-02-12,Yes,No,4,2,Counselor_21,65,No
L03136,YouTube,PGDM,2025-01-13,No,No,0,2,Counselor_31,75,No
L03137,Google Ads,MBA,2025-01-01,Yes,Yes,3,4,Counselor_27,87,No
L03138,Google Ads,BSC,2025-01-08,Yes,Yes,3,2,Counselor_21,33,No
L03139,LinkedIn,MCA,2025-04-25,Yes,Yes,1,4,Counselor_38,80,No
L03140,Website,MCA,2025-04-13,No,No,0,1,Counselor_34,72,No
L03141,WhatsApp,MBA,2025-03-07,No,No,1,3,Counselor_3,28,No
L03142,YouTube,MBA,2025-02-01,Yes,Yes,5,2,Counselor_18,39,No
L03143,Referral,BCA,2025-03-24,Yes,Yes,6,2,Counselor_47,26,No
L03144,Referral,MBA,2025-03-19,No,No,1,5,Counselor_5,47,No
L03145,Google Ads,BSC,2025-03-16,Yes,No,6,0,Counselor_39,80,No
L03146,YouTube,BA,2025-04-23,Yes,No,3,1,Counselor_36,54,No
L03147,Instagram,MA,2025-02-16,Yes,Yes,1,2,Counselor_21,25,No
L03148,YouTube,MA,2025-02-15,No,No,1,5,Counselor_32,58,No
L03149,Website,BA,2025-02-11,Yes,No,2,4,Counselor_17,22,No
L03150,Facebook,BA,2025-04-17,Yes,Yes,2,5,Counselor_28,20,No
L03151,LinkedIn,BA,2025-02-02,Yes,No,1,1,Counselor_6,65,No
L03152,LinkedIn,PGDM,2025-03-08,Yes,No,1,3,Counselor_13,59,No
L03153,LinkedIn,MBA,2025-01-30,Yes,No,6,3,Counselor_31,56,No
L03154,WhatsApp,BCOM,2025-02-16,Yes,No,1,5,Counselor_20,28,No
L03155,WhatsApp,MCOM,2025-04-27,Yes,No,2,0,Counselor_33,86,No
L03156,LinkedIn,BA,2025-02-10,No,No,2,3,Counselor_45,85,No
L03157,Google Ads,MSC,2025-03-15,Yes,Yes,2,1,Counselor_28,23,No
L03158,Facebook,BCA,2025-02-18,No,No,1,1,Counselor_30,73,No
L03159,YouTube,MCOM,2025-04-29,Yes,Yes,4,1,Counselor_45,20,No
L03160,WhatsApp,PGCP,2025-01-24,No,No,0,5,Counselor_42,31,No
L03161,Facebook,MSC,2025-04-14,Yes,No,1,3,Counselor_35,84,No
L03162,LinkedIn,MCOM,2025-04-10,Yes,Yes,3,2,Counselor_37,59,No
L03163,WhatsApp,BA,2025-03-12,Yes,Yes,4,1,Counselor_16,37,No
L03164,YouTube,MCA,2025-01-29,Yes,Yes,5,4,Counselor_38,23,No
L03165,LinkedIn,MCA,2025-01-30,Yes,No,1,0,Counselor_46,74,No
L03166,Facebook,MCOM,2025-04-22,No,No,2,5,Counselor_41,77,No
L03167,Website,BSC,2025-04-24,Yes,No,4,4,Counselor_21,53,No
L03168,Instagram,BSC,2025-04-12,Yes,Yes,3,1,Counselor_38,87,Yes
L03169,Website,BCOM,2025-04-06,Yes,Yes,3,4,Counselor_5,61,Yes
L03170,Website,BCA,2025-03-16,Yes,Yes,5,5,Counselor_41,69,Yes
L03171,Referral,BCA,2025-02-03,Yes,Yes,2,4,Counselor_2,39,No
L03172,Website,BSC,2025-03-03,Yes,Yes,5,3,Counselor_44,33,No
L03173,LinkedIn,MSC,2025-04-30,Yes,No,1,5,Counselor_22,31,No
L03174,Instagram,MCA,2025-04-29,Yes,No,5,5,Counselor_25,32,No
L03175,LinkedIn,MBA,2025-03-25,No,No,0,3,Counselor_25,24,No
L03176,Instagram,MBA,2025-02-28,Yes,Yes,2,4,Counselor_36,38,No
L03177,WhatsApp,BCA,2025-03-19,No,No,0,2,Counselor_46,85,No
L03178,WhatsApp,BSC,2025-02-08,Yes,Yes,1,1,Counselor_46,60,No
L03179,Website,PGCP,2025-03-04,Yes,Yes,4,4,Counselor_47,48,No
L03180,Referral,PGDM,2025-02-15,Yes,Yes,4,3,Counselor_16,32,No
L03181,LinkedIn,BSC,2025-04-26,No,No,0,2,Counselor_22,63,No
L03182,Website,BSC,2025-04-19,No,No,1,5,Counselor_3,65,No
L03183,LinkedIn,BSC,2025-01-12,Yes,No,6,5,Counselor_15,86,No
L03184,Google Ads,MCOM,2025-02-03,Yes,Yes,5,4,Counselor_14,33,No
L03185,Instagram,MCOM,2025-01-09,Yes,Yes,1,5,Counselor_45,33,No
L03186,LinkedIn,MA,2025-03-24,No,No,0,1,Counselor_26,88,No
